benchmark,row,threads,ops,seconds,throughput,unit,rss_kb
Zero vs Libevent TCP Echo,01 zero echo   ,1,2000,0.0608,32.89K,req/s (QPS),3688
Zero vs Libevent TCP Echo,01 zero echo   ,2,4000,0.0749,53.41K,req/s (QPS),3700
Zero vs Libevent TCP Echo,01 zero echo   ,4,4676,2.0730,2.26K,req/s (QPS),3724
Zero vs Libevent TCP Echo,02 libevent     ,1,2000,0.1030,19.41K,req/s (QPS),3736
Zero vs Libevent TCP Echo,02 libevent     ,2,4000,0.0768,52.05K,req/s (QPS),3740
Zero vs Libevent TCP Echo,02 libevent     ,4,8000,0.0646,123.84K,req/s (QPS),3744
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,1,2000,0.0837,23.89K,req/s,3684
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,2,4000,0.0740,54.08K,req/s,3696
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,4,8000,0.0669,119.50K,req/s,3720
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,1,2000,0.0858,23.32K,req/s,3732
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,2,4000,0.0810,49.35K,req/s,3732
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,4,8000,0.0713,112.19K,req/s,3744
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,1,2000,0.0939,21.30K,req/s,3692
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,2,4000,0.0724,55.26K,req/s,3704
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,4,8000,0.0671,119.25K,req/s,3728
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,1,2000,0.0605,33.04K,req/s,3740
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,2,4000,0.0779,51.34K,req/s,3740
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,4,8000,0.0669,119.63K,req/s,3752
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,1,2000,0.0839,23.85K,req/s,3708
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,2,4000,0.0734,54.46K,req/s,3720
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,4,8000,0.0649,123.26K,req/s,3744
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,1,2000,0.0611,32.76K,req/s,3756
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,2,4000,0.0783,51.12K,req/s,3756
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,4,8000,0.0677,118.25K,req/s,3768
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,1,2000,0.0737,27.13K,req/s,3676
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,2,4000,0.0731,54.69K,req/s,3688
TCP Echo QPS: Epoll vs Libevent,01 raw epoll  ,4,8000,0.0583,137.32K,req/s,3712
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,1,2000,0.0622,32.15K,req/s,3724
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,2,4000,0.0780,51.30K,req/s,3724
TCP Echo QPS: Epoll vs Libevent,02 libevent    ,4,8000,0.0884,90.50K,req/s,3736
